Date,Open,High,Low,Close/Last,Volume
2021-04-09,250.509995,252.839996,249.440002,252.360001,12234800
2021-04-08,251.699997,254.949997,249.309998,254.949997,9899900
2021-04-07,255.309998,255.899994,250.830002,252.580002,9925700
2021-04-06,257.209991,259.350006,254.660004,255.169998,11180300
2021-04-05,256.559998,260.480011,256.25,259.359985,13750300
2021-04-01,256.670013,257.880005,251.309998,252.960007,10915000
2021-03-31,254.699997,257.880005,253.360001,254.720001,14138500
2021-03-30,251.240005,253.5,248.910004,252.009995,12577300
2021-03-29,251.300003,254.710007,248.029999,250.520004,22198800
2021-03-26,249.619995,250.899994,240.300003,244.869995,17130700
2021-03-25,234.339996,247.580002,231.699997,247.190002,27553600
2021-03-24,243.75,248.800003,239.059998,239.240005,24055100
2021-03-23,249.259995,251.300003,239.429993,241.25,21358200
2021-03-22,255.820007,257.670013,250.160004,251.229996,15230000
2021-03-19,257.75,258.880005,251.309998,255.820007,17254300
2021-03-18,261.320007,267.369995,254.729996,256.059998,24548000
2021-03-17,254.699997,263.609985,253.679993,263.589996,23529600
2021-03-16,263.230011,264.170013,254.020004,255.210007,28599000
2021-03-15,274.149994,278.570007,264.329987,265.630005,34816700
2021-03-12,253.860001,269.720001,253.5,269.190002,35209600
2021-03-11,248.770004,256.649994,246.550003,252,30091800
2021-03-10,233.809998,246.800003,232.880005,245.339996,27659800
2021-03-09,226.809998,234.059998,222.580002,230.610001,20952300
2021-03-08,226.669998,229.889999,223.710007,224.029999,13807100
2021-03-05,229.009995,229.919998,213.800003,223.220001,19983300
2021-03-04,232.729996,237.100006,218.699997,224.710007,26556900
2021-03-03,226.360001,235.399994,225.039993,228.559998,30362100
2021-03-02,224.789993,227.190002,222.149994,223.139999,11094500
2021-03-01,219.600006,226.979996,219.020004,224.389999,18709300
2021-02-26,218.509995,220.660004,211.289993,212.009995,12811900
2021-02-25,227.800003,228.5,214.710007,216.449997,19283000
2021-02-24,212.100006,229.610001,211.600006,229.339996,30709300
2021-02-23,214.149994,214.75,206.600006,212.119995,15996700
2021-02-22,211.889999,220.389999,210.800003,212.880005,21413700
2021-02-19,209.970001,217.639999,209.149994,217.470001,12415300
2021-02-18,213.449997,214.339996,208.080002,208.479996,9121300
2021-02-17,215.520004,218.710007,212.679993,215.520004,9276000
2021-02-16,213.080002,217.399994,212.330002,217.179993,10171100
2021-02-12,210.360001,213.160004,209.669998,210.979996,5997800
2021-02-11,212.240005,213.990005,208.570007,210.660004,7096800
2021-02-10,215.649994,217.490005,211.119995,211.919998,11510700
2021-02-09,210.600006,216.729996,208.899994,215.119995,13615700
2021-02-08,209.550003,211.990005,208.300003,211.949997,11182100
2021-02-05,212.25,213.199997,206.660004,207.929993,9528900
2021-02-04,209.869995,212.479996,208.020004,210.639999,11869900
2021-02-03,202,208.160004,201.259995,207.389999,11836900
2021-02-02,198.979996,203.029999,198.089996,200.940002,11130600
2021-02-01,196,197.380005,192.860001,195.839996,9061900
2021-01-29,198.300003,201.570007,193.119995,194.190002,13655600
2021-01-28,198.050003,200.419998,196,197.229996,10403200
2021-01-27,196.899994,199.470001,191.850006,194.029999,20948500
2021-01-26,205.339996,208.350006,201.789993,202.059998,11011800
2021-01-25,203.270004,203.800003,199.300003,203.360001,14276200
2021-01-22,205.550003,206.699997,204.270004,205.839996,7514600
2021-01-21,211.720001,211.929993,206.339996,207.410004,11119800
2021-01-20,213.240005,215.589996,211.210007,211.449997,9727000
2021-01-19,206.990005,211.520004,206.520004,210.710007,11947200
2021-01-15,208.960007,209.25,204.199997,204.320007,11103300
2021-01-14,208.789993,214.190002,208.210007,209.910004,12446800
2021-01-13,207.149994,208.789993,204.850006,207.210007,8570500
2021-01-12,206.649994,209.059998,204.809998,208.410004,12836200
2021-01-11,203.029999,207.779999,201.009995,206.789993,16789300
2021-01-08,213.610001,214.100006,208.160004,209.899994,14144000
2021-01-07,213.389999,216.600006,211.779999,212.710007,14474100
2021-01-06,210.220001,215.610001,209.339996,211.029999,16202200
2021-01-05,204.740005,213.350006,204.600006,211.630005,19338300
2021-01-04,210,210.199997,202.490005,202.720001,21225600
2020-12-31,216.240005,216.899994,212.699997,214.059998,10487600
2020-12-30,216.360001,218.550003,214.369995,216.669998,10812600
2020-12-29,218.300003,221.679993,215.399994,216.25,14593800
2020-12-28,218.190002,219.199997,215.160004,216.089996,9090600
2020-12-24,219.619995,219.880005,216.050003,217.149994,6398500
2020-12-23,219.550003,224.399994,219.320007,219.690002,10869000
2020-12-22,223.279999,223.889999,217.699997,218.779999,13280000
2020-12-21,212.339996,219.429993,211.100006,219.309998,18726500
2020-12-18,222.050003,223.460007,218.610001,219.75,19092800
2020-12-17,227.240005,228.490005,220.529999,221.240005,17465600
2020-12-16,229.330002,232.369995,225.300003,225.869995,17858400
2020-12-15,230,232.5,224.360001,229.5,19013200
2020-12-14,235,237.630005,228.369995,228.619995,19231200
2020-12-11,232.820007,236.220001,228.330002,230.330002,17311800
2020-12-10,228.100006,237.009995,228.020004,234.429993,16185000
2020-12-09,238.639999,240.839996,228.279999,232.059998,19043600
2020-12-08,238.699997,241.699997,234.460007,236.570007,19682000
2020-12-07,238.5,244.080002,237.110001,238.169998,33246700
2020-12-04,236.360001,238.179993,230.25,232.710007,29378400
2020-12-03,228.300003,242,226.529999,237.199997,45945100
2020-12-02,213.009995,224.990005,210.300003,223.850006,25912300
2020-12-01,214.309998,218.089996,213,213.009995,15805200
2020-11-30,215.699997,217.779999,208.520004,210.710007,16501900
2020-11-27,218.25,219.929993,216.039993,216.5,9970200
2020-11-25,217.710007,221,213.089996,217.610001,19254100
2020-11-24,219.429993,222.949997,215.759995,218.490005,31132000
2020-11-23,203.240005,214.210007,201.869995,211.529999,28372400
2020-11-20,204.589996,206.580002,199.169998,199.619995,18230900
2020-11-19,200.449997,209.440002,199.899994,205.669998,34236100
2020-11-18,223.020004,223.020004,203,203.300003,65990700
2020-11-17,200.25,211.199997,196.050003,210.050003,38299300
2020-11-16,194.559998,202.940002,191.350006,202.399994,40562800
2020-11-13,179,187.270004,178.710007,187.110001,19724500
2020-11-12,178.949997,184.589996,176.25,176.720001,20288400
2020-11-11,189.889999,190,180.410004,182.149994,29907800
2020-11-10,182.800003,193.949997,180.380005,188.690002,46404300
2020-11-09,179,184.460007,172.160004,179.360001,49014400
2020-11-06,156.330002,158.470001,154.520004,157.740005,8995600
2020-11-05,152.479996,157.630005,152.100006,157.089996,12328300
2020-11-04,153.169998,155.399994,151.169998,151.630005,11344700
2020-11-03,151.830002,154.820007,150.639999,153.649994,12249800
2020-11-02,145.75,149.589996,143.380005,148.600006,13854600
2020-10-30,147.199997,149.169998,141.580002,144.389999,15374700
2020-10-29,148.029999,150.100006,146.600006,148.289993,14554300
2020-10-28,153,153.949997,148,148.139999,20279800
2020-10-27,159.160004,160.25,155,155.240005,15491900
2020-10-26,164.949997,165.5,159.050003,160.830002,16151100
2020-10-23,169.990005,170.259995,166.050003,167.360001,10024200
2020-10-22,164.699997,169.630005,164.100006,169.070007,14238200
2020-10-21,166.440002,167.630005,163.820007,163.860001,11450600
2020-10-20,168.289993,169.289993,166.179993,167.240005,12319900
2020-10-19,169.089996,170.839996,166.110001,167.110001,16519600
2020-10-16,171.220001,173.419998,167.270004,167.350006,31780600
2020-10-15,161.009995,164.539993,158.729996,164.240005,13226800
2020-10-14,162.699997,165.169998,162.490005,163.240005,10541800
2020-10-13,165.360001,165.529999,162.089996,162.139999,15182600
2020-10-12,167.75,169.199997,165.949997,167.350006,12176600
2020-10-09,169.929993,170,166.820007,167.330002,17406000
2020-10-08,166.220001,168.089996,163.539993,168,20598600
2020-10-07,163.710007,166.339996,162.380005,164.610001,26019100
2020-10-06,173.039993,175.559998,159.330002,159.539993,47132500
2020-10-05,169.490005,172.080002,167.509995,171.199997,19082100
2020-10-02,161.860001,169.779999,161.800003,168.080002,31773800
2020-10-01,170.149994,172.759995,165.570007,167.860001,30677100
2020-09-30,164.5,170.979996,164.110001,165.259995,38436700
2020-09-29,164.770004,165.5,162.009995,163.600006,19874700
2020-09-28,160.330002,168,159.199997,166.080002,38868200
2020-09-25,146.850006,156.309998,146.419998,156.029999,29123000
2020-09-24,150.289993,150.309998,145.020004,146.050003,27098100
2020-09-23,157.330002,160.419998,150.889999,151.179993,18247500
2020-09-22,156.809998,160.070007,154.949997,156.800003,17768900
2020-09-21,157.830002,158.830002,154.199997,156.350006,23125300
2020-09-18,165.660004,169.720001,161.020004,161.139999,22057100
2020-09-17,164.630005,168.460007,161.050003,167.529999,19717800
2020-09-16,161.949997,170.570007,160.309998,167.460007,21851400
2020-09-15,166.649994,168.839996,163.330002,163.490005,14881700
2020-09-14,161.75,165.940002,158.899994,165.350006,17228400
2020-09-11,158,161.360001,156.320007,160.229996,14722400
2020-09-10,160.960007,163.779999,157.570007,157.690002,14532600
2020-09-09,161.610001,163.059998,157,160.779999,21951400
2020-09-08,165.800003,166.899994,160.5,161.080002,22622700
2020-09-04,171.309998,172.830002,164,171.050003,18867300
2020-09-03,175,180.850006,168.119995,168.770004,27799400
2020-09-02,172.740005,175,171.449997,174.779999,16552100
2020-09-01,170.710007,175.490005,169.25,172.100006,18997400
2020-08-31,174.649994,175.270004,171.699997,171.820007,16264300
2020-08-28,175.110001,177.279999,172.570007,175.800003,20383900
2020-08-27,174.710007,181.309998,173.559998,174.199997,29548100
2020-08-26,173.800003,174.429993,171.350006,171.899994,16189800
2020-08-25,180.460007,180.630005,172.440002,174.729996,31318500
2020-08-24,168.779999,178.270004,167.929993,178.270004,39317100
2020-08-21,168.350006,170.080002,167.270004,167.5,16945900
2020-08-20,168.539993,170.839996,165.860001,169.580002,23213400
2020-08-19,170.440002,174.100006,169.089996,169.270004,25601500
2020-08-18,172.009995,173.240005,169.009995,170.229996,21488500
2020-08-17,178.240005,178.289993,171.410004,172.009995,23352100
2020-08-14,173.089996,179.470001,172.350006,178.080002,32414100
2020-08-13,173.619995,179.470001,172.429993,174.729996,22958800
2020-08-12,184.009995,184.149994,173.190002,175.440002,40702400
2020-08-11,184.509995,189.970001,179.529999,180.130005,61036600
2020-08-10,171.360001,179.789993,171.330002,179.410004,35857700
2020-08-07,171.5,171.860001,168.699997,170.020004,19318000
2020-08-06,172.800003,175.570007,170.600006,172.199997,32921600
2020-08-05,167.600006,174.979996,166.399994,174.279999,46551000
2020-08-04,164.630005,167.399994,163.009995,165.070007,30853500
2020-08-03,156.509995,163.580002,153.410004,162.270004,38520500
2020-07-31,161.550003,163.399994,156.259995,158,30286700
2020-07-30,162.880005,164.550003,160.639999,161.949997,29140000
2020-07-29,172.899994,173.009995,162.25,166.009995,51709600
2020-07-28,168.5,173.740005,168.229996,170.839996,25349100
2020-07-27,173.190002,174.139999,169,170.210007,30243800
2020-07-24,175.679993,181.100006,173.600006,173.759995,28548000
2020-07-23,178,182.5,175.419998,176.449997,29587200
2020-07-22,176.429993,182.949997,175.389999,179.789993,29790300
2020-07-21,178.429993,182.649994,176.75,178.630005,40774500
2020-07-20,175.130005,176.570007,171.619995,174.419998,25294300
2020-07-17,178.410004,181.100006,175.550003,175.660004,26170500
2020-07-16,184.320007,184.589996,177.339996,178.699997,35050000
